Food Items,Energy kcal,Carbs,Protein(g),Fat(g),Freesugar(g),Fibre(g),Cholestrol(mg),Calcium(mg),Consumption Tips
Chicken sandwich (toasted),167.37,18.82,12.08,5.32,2.13,1.64,26.57,99.99,Combining with a protein source makes this a more complete and satisfying meal. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Pea keema sandwich (toasted) (Matar aur keema ka sandwich),171.78,20.26,11.06,5.61,1.94,2.45,27.29,70.79,Include in your weekly rotation to diversify your nutritional intake. | Ideal for breakfast or lunch to sustain energy and curb hunger longer.
Classic club sandwich,200.83,18.49,6.74,11.56,1.86,1.62,62.87,107.73,"Best enjoyed fresh and as part of a varied, balanced daily diet. | A good addition for elderly individuals to maintain healthy bone density."
Sesame toast,495.19,11.15,1.9,49.38,1.46,1.32,0,43.44,Pair with a glass of water or herbal tea for optimal digestive comfort. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Cracked wheat porridge (Meetha daliya),81.57,8.87,2.64,4.08,5.12,0.62,0,75.88,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Combining with a protein source makes this a more complete and satisfying meal.
Semolina porridge (Suji/Rava daliya),100.89,12.39,3.75,4.08,7.54,0.7,0,108.52,Pair with a glass of water or herbal tea for optimal digestive comfort. | A great option during festive occasions — just keep portions in check.
Oatmeal Porridge,72.85,8.77,2.6,3.22,5.2,0.39,0.02,76.83,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Include in your weekly rotation to diversify your nutritional intake.
Cornflakes with milk,117.33,14.95,3.59,5.12,9.97,0.78,0,106.47,Works well as a side dish or main course depending on your daily energy needs. | Ideal when combined with seasonal vegetables for a wholesome meal.
Rice flakes (Chiwda/Aval),112.44,15.57,3.62,3.99,7.28,0.37,0,103.15,"Include in your weekly rotation to diversify your nutritional intake. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Wheat flakes,112.44,15.57,3.62,3.99,7.28,0.37,0,103.15,A good addition for elderly individuals to maintain healthy bone density. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Murmura (Puffed rice),113.32,15.67,3.62,4.04,7.31,0.28,0,103.79,Consume in moderate portions and savour mindfully for maximum enjoyment. | Pair with Vitamin D sources like sunlight or eggs for better calcium absorption.
Puffed wheat (Murmure/Moori),113.32,15.67,3.62,4.04,7.31,0.28,0,103.79,Combining with a protein source makes this a more complete and satisfying meal. | Excellent for bone and dental health — especially beneficial for growing children.
Boiled egg (Ubla anda),45.35,0.12,4.43,3.04,0,0.11,121.19,17.75,A great option during festive occasions — just keep portions in check. | Can be eaten generously without fear of calorie overload; great as a snack.
Fried Egg ,223.67,0.31,11.59,19.62,0,0.29,316.88,46.4,Moderate fat content — suitable for active individuals with higher energy demands. | Those with cardiovascular conditions should limit intake to once or twice a week.
Poached egg,123.87,0.37,11.98,8.19,0.05,0.3,326.79,48.24,Fresh preparation retains the most nutrients; avoid overcooking. | Ideal when combined with seasonal vegetables for a wholesome meal.
Scrambled egg (Ande ki bhurji),155.97,1.35,10.29,12.21,1.08,0.24,273.6,64.59,Ideal for breakfast or lunch to sustain energy and curb hunger longer. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Baked egg ,218.85,15.42,11.88,12.65,1.66,1.03,204.36,164.05,Include in your weekly rotation to diversify your nutritional intake. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Plain omelette/omlet,272.41,0.64,9.66,25.74,0.51,0.12,255.94,48.4,"A great option during festive occasions — just keep portions in check. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Stuffed egg omelette/omlet,203.51,2.3,8.6,17.77,1.57,0.75,154.38,89.91,Ideal for breakfast or lunch to sustain energy and curb hunger longer. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Pancake,203.36,20.49,5.68,10.82,3.32,0.65,35.93,79.49,Combining with a protein source makes this a more complete and satisfying meal. | Moderate fat content — suitable for active individuals with higher energy demands.
Keema pancake,176.27,9.56,9.01,11.25,2.2,0.84,46.43,40.96,Fresh preparation retains the most nutrients; avoid overcooking. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Vegetable pancake,125.18,12.24,3.87,6.57,2.09,2.48,19.32,42.89,Consume in moderate portions and savour mindfully for maximum enjoyment. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Jam and fruit pancake,162.02,20.73,3.79,7.01,7.85,1.21,23.09,54.06,Pair with a glass of water or herbal tea for optimal digestive comfort. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Khoa and coconut pancake,271.98,27.32,6.98,15.29,16.47,1.65,21.35,157.22,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Best enjoyed as a treat rather than a staple — pair with a protein to reduce sugar impact.
Brown stock,21.32,0.25,1.95,1.38,0.14,0.09,0,17.16,Include in your weekly rotation to diversify your nutritional intake. | A smart low-calorie option — ideal for weight management plans.
Vegetable stock,17.6,0.96,0.3,1.38,0.44,0.38,3.46,5.08,Works well as a side dish or main course depending on your daily energy needs. | Combining with a protein source makes this a more complete and satisfying meal.
Chicken stock,29.88,0.37,3.69,1.51,0.2,0.1,10.23,3.57,Light on the digestive system; suitable for those recovering from illness. | Ideal when combined with seasonal vegetables for a wholesome meal.
Clear tomato soup (Tamatar ka soup),80.07,3.45,4.79,12.22,1.44,1.96,0,29.05,Combining with a protein source makes this a more complete and satisfying meal. | Moderate fat content — suitable for active individuals with higher energy demands.
Lentil soup,31.17,3.94,9.65,11.68,1.06,2.57,2.19,40.57,Can be eaten generously without fear of calorie overload; great as a snack. | Fresh preparation retains the most nutrients; avoid overcooking.
Chicken consomme (Clear chicken soup),47.94,1.19,11.47,12.02,0.54,1.57,17,35.48,Pair with a glass of water or herbal tea for optimal digestive comfort. | A great option during festive occasions — just keep portions in check.
Cream of tomato soup,97.81,3.93,4.61,13.12,1.81,1.38,5.47,39.61,"Works well as a side dish or main course depending on your daily energy needs. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Cream of green peas soup,127.84,6.75,7.13,14.78,1.61,2.95,6.19,51.01,Moderate fat content — suitable for active individuals with higher energy demands. | Include in your weekly rotation to diversify your nutritional intake.
Cream of spinach soup,100.54,3.45,5.21,13.31,1.13,1.74,5.47,70.77,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Works well as a side dish or main course depending on your daily energy needs."
Cream of mixed vegetable soup,59.65,4.93,6.84,9.05,2.1,2.14,7.05,65.26,A great option during festive occasions — just keep portions in check. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Cream of mushroom soup,117.28,3.74,6.64,15.5,1.93,1.34,6.74,70.56,A good addition for elderly individuals to maintain healthy bone density. | Fresh preparation retains the most nutrients; avoid overcooking.
Chicken sweet corn soup,28.32,1.63,14.48,12.59,0.27,0.47,6.37,91.5,Pair with a glass of water or herbal tea for optimal digestive comfort. | Works well as a side dish or main course depending on your daily energy needs.
Minestrone soup,42.66,3.71,9.3,11.09,1.01,1.92,3.7,53.55,Ideal for breakfast or lunch to sustain energy and curb hunger longer. | Add a side of leafy greens to boost micronutrient absorption.
Egg drop soup,26.64,1.1,12.93,13.52,0.6,0.81,31.67,100.14,"Best enjoyed fresh and as part of a varied, balanced daily diet. | A good addition for elderly individuals to maintain healthy bone density."
Chinese cabbage and meat ball soup,484.31,1.43,5.21,56.57,0.37,0.57,5.83,41.07,Pair with a glass of water or herbal tea for optimal digestive comfort. | Enjoy in controlled portions; best reserved as an occasional indulgence.
French onion soup,55.61,4.28,11.41,14.39,1.5,1.01,10.59,106.22,Excellent for bone and dental health — especially beneficial for growing children. | Fresh preparation retains the most nutrients; avoid overcooking.
Hot and sour soup,31.51,1.78,3.12,1.31,0.66,0.6,17.91,10.68,Can be eaten generously without fear of calorie overload; great as a snack. | Combining with a protein source makes this a more complete and satisfying meal.
Talaumein soup,35.63,4.17,10.12,12.78,0.77,1.94,12.4,42.33,Fresh preparation retains the most nutrients; avoid overcooking. | Ideal for breakfast or lunch to sustain energy and curb hunger longer.
Cold cucumber soup (Thanda kheere ka soup),48.03,4.58,2.99,1.99,3.34,0.88,7.06,99.79,Very low in fat — an excellent choice for heart-healthy and low-fat diets. | Include in evening meals for light yet satisfying nourishment.
Cold summer garden soup,49.19,2.65,8.57,14.08,0.46,1.86,10.12,43.93,Combining with a protein source makes this a more complete and satisfying meal. | Include in your weekly rotation to diversify your nutritional intake.
Chapati/Roti,202.31,35.65,5.88,3.56,1,6.31,6.83,17.22,Excellent choice for those managing cholesterol or blood sugar levels. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Plain parantha/paratha,298.3,30.69,5.06,16.86,0.86,5.43,0,14.81,Ideal when combined with seasonal vegetables for a wholesome meal. | A great option during festive occasions — just keep portions in check.
Potato parantha/paratha (Aloo ka parantha/paratha),205.04,23.92,3.7,10.22,1.15,4.18,0,17.38,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Include in your weekly rotation to diversify your nutritional intake.
Radish parantha/paratha (Mooli ka parantha/paratha),183.52,20.54,3.3,9.53,1.31,4.32,0,23.75,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load."
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),178.07,18.84,3.73,9.47,1.15,4.68,0,22,Combining with a protein source makes this a more complete and satisfying meal. | A great option during festive occasions — just keep portions in check.
Dal parantha/paratha,268.24,30.03,6.78,13.05,1.43,6.46,0,23.89,Works well as a side dish or main course depending on your daily energy needs. | Consider halving portion size if watching total caloric consumption.
Sprouted moong parantha/paratha,228.59,24.31,4.29,12.43,1.47,4.49,0,20.33,"Fresh preparation retains the most nutrients; avoid overcooking. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Pea parantha/paratha (Matar ka parantha/paratha),190.73,21.51,5.59,8.8,1.29,5.61,0,23.49,Ideal when combined with seasonal vegetables for a wholesome meal. | Fresh preparation retains the most nutrients; avoid overcooking.
Keema parantha/paratha,238.09,18.36,9.41,13.91,0.99,3.44,25.66,19.35,Works well as a side dish or main course depending on your daily energy needs. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Paneer parantha/paratha,262.97,24.33,7.98,14.62,3.77,4,0,127.65,Works well as a side dish or main course depending on your daily energy needs. | A great option during festive occasions — just keep portions in check.
Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),216.49,21.39,5.54,12.09,1.31,4.39,0,33.07,Ideal when combined with seasonal vegetables for a wholesome meal. | Great as a midday meal to maintain healthy gut function and satiety.
Poori,737.63,8.22,1.35,77.61,0.23,1.46,1.58,3.98,Pair with a glass of water or herbal tea for optimal digestive comfort. | Rich in fats — consume mindfully and balance with active movement during the day.
Spinach poori (Palak poori),684.25,7.76,1.42,71.86,0.24,1.55,1.46,10.02,Consider halving portion size if watching total caloric consumption. | Moderate fat content — suitable for active individuals with higher energy demands.
Methi poori,710.02,7.98,1.45,74.6,0.26,1.61,1.51,14.61,Enjoy in controlled portions; best reserved as an occasional indulgence. | Ideal when combined with seasonal vegetables for a wholesome meal.
Dal stuffed poori,785.16,10.14,2.08,81.69,0.29,1.96,1.66,6.88,Pair with a glass of water or herbal tea for optimal digestive comfort. | Ideal when combined with seasonal vegetables for a wholesome meal.
Potato stuffed poori (Aloo ki poori),776.74,9.4,1.52,81.35,0.26,1.64,1.65,5.57,Pair with a glass of water or herbal tea for optimal digestive comfort. | Enjoy in controlled portions; best reserved as an occasional indulgence.
Tandoori parantha/paratha,295.37,30.74,5.08,16.51,0.86,5.44,39.77,14.98,Great as a midday meal to maintain healthy gut function and satiety. | Works well as a side dish or main course depending on your daily energy needs.
Boiled rice (Uble chawal),117.19,25.72,2.6,0.18,0.22,1.25,0,2.7,A great option during festive occasions — just keep portions in check. | Very low in fat — an excellent choice for heart-healthy and low-fat diets.
Plain pulao,140.21,21.82,2.34,4.62,1.15,1.69,0,12.76,Ideal when combined with seasonal vegetables for a wholesome meal. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Mixed vegetable pulao,113.05,17.49,2.72,3.33,1.35,2.67,0,19.61,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load."
Mushroom pulao,124.29,19.02,2.52,4.03,1,1.88,0,13.54,Pair with a glass of water or herbal tea for optimal digestive comfort. | A great option during festive occasions — just keep portions in check.
Sprouted moong pulao,112.97,17.49,2.19,3.61,1.43,1.78,0,16.26,Ideal when combined with seasonal vegetables for a wholesome meal. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Paneer pulao,581.91,8.76,1.98,59.81,1.11,0.62,0,33.09,Combining with a protein source makes this a more complete and satisfying meal. | Rich in fats — consume mindfully and balance with active movement during the day.
Peanut pulao ,193.28,21.18,5.32,9.51,1.6,2.9,0,18.52,A great option during festive occasions — just keep portions in check. | Include in your weekly rotation to diversify your nutritional intake.
Navratan pulao,261.71,36.98,6.2,9.45,2.52,3.82,0,59.61,Combining with a protein source makes this a more complete and satisfying meal. | Fresh preparation retains the most nutrients; avoid overcooking.
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),173.43,27.57,4.88,4.82,2.48,3.15,0,18.94,A great option during festive occasions — just keep portions in check. | Works well as a side dish or main course depending on your daily energy needs.
Mutton biryani/biriyani,190.76,22.5,7.38,7.72,2.39,2.42,0.4,68.58,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Consume in moderate portions and savour mindfully for maximum enjoyment."
Vegetable biryani/biriyani,174.61,18.56,3.16,9.51,2.14,3.31,0.27,33.52,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Include in your weekly rotation to diversify your nutritional intake.
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",176.3,21.62,4.26,7.88,0.78,2.52,0,12.7,Pair with a glass of water or herbal tea for optimal digestive comfort. | Combining with a protein source makes this a more complete and satisfying meal.
Sweet rice (Meethe chawal),215.41,42.59,2.1,4.57,24.8,1.13,9.55,11.38,Fresh preparation retains the most nutrients; avoid overcooking. | Ideal when combined with seasonal vegetables for a wholesome meal.
Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),195.74,32.93,5.75,4.32,3.91,2.13,3.12,101.52,Include in your weekly rotation to diversify your nutritional intake. | Ideal when combined with seasonal vegetables for a wholesome meal.
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),373.04,65.08,7.45,8.53,11.65,5.12,7.7,50.94,Works well as a side dish or main course depending on your daily energy needs. | Fresh preparation retains the most nutrients; avoid overcooking.
Spanish rice,164.24,31.1,4.19,2.23,1.26,2.78,0,18.93,Combining with a protein source makes this a more complete and satisfying meal. | Very low in fat — an excellent choice for heart-healthy and low-fat diets.
Chinese fried rice,120.58,13.4,4.05,5.43,1.47,2.31,52.09,34.7,"Pair with a glass of water or herbal tea for optimal digestive comfort. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Macroni cheese pie,170.63,21.1,5.85,7.48,3.4,0.4,15.99,122.01,Ideal when combined with seasonal vegetables for a wholesome meal. | A great option during festive occasions — just keep portions in check.
Vegetable chowmein,129.71,15.44,3.07,6.36,1.97,1.86,0,28.33,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Chicken chowmein,151.33,13.3,6.33,8.23,1.63,1.64,10.73,26.1,Ideal when combined with seasonal vegetables for a wholesome meal. | Combining with a protein source makes this a more complete and satisfying meal.
Cheese noodle ring,133.67,13.96,6.22,6.12,2.84,1.27,55.67,99.3,Include in your weekly rotation to diversify your nutritional intake. | Fresh preparation retains the most nutrients; avoid overcooking.
Spaghetti and cheese balls in tomato sauce,508.32,7.82,2.41,52.08,1.83,0.59,3.83,40.59,A great option during festive occasions — just keep portions in check. | Consider halving portion size if watching total caloric consumption.
Penne platter,177.4,20.87,5.04,8.71,4.5,1.09,2.29,67.67,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Pasta hot pot,125.17,11.6,5.84,6.47,5.99,0.8,27.19,55.28,Consume in moderate portions and savour mindfully for maximum enjoyment. | Fresh preparation retains the most nutrients; avoid overcooking.
Chicken lasagne,187.49,13.9,10.45,10.36,2.74,0.11,50.38,119.98,Moderate fat content — suitable for active individuals with higher energy demands. | Ideal for breakfast or lunch to sustain energy and curb hunger longer.
Fettuccine with spinach sauce,129.21,12.19,3.1,7.83,1.18,0.77,10.29,53.67,Fresh preparation retains the most nutrients; avoid overcooking. | A great option during festive occasions — just keep portions in check.
Naan,286.45,51.75,8.05,4.99,5.59,1.91,10.15,88.01,Add a side of leafy greens to boost micronutrient absorption. | Ideal for breakfast or lunch to sustain energy and curb hunger longer.
Bhatura,793.2,10.73,1.63,82.56,0.69,0.38,0.38,12.12,Enjoy in controlled portions; best reserved as an occasional indulgence. | Balance with lighter meals throughout the day to manage daily calorie intake.
Idli,137.54,28.18,4.64,0.33,0.28,2.31,0,8,"Pair with a glass of water or herbal tea for optimal digestive comfort. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Masala dosa,164.58,19.57,3.29,7.84,1.33,2.52,0,15.58,Works well as a side dish or main course depending on your daily energy needs. | Fresh preparation retains the most nutrients; avoid overcooking.
Semolina dosa (Suji/Rava dosa),227.05,32.84,7.3,7.12,4.37,4.04,4.59,116.04,Fresh preparation retains the most nutrients; avoid overcooking. | Pair with Vitamin D sources like sunlight or eggs for better calcium absorption.
Onion tomato uttapam,462.02,11.32,1.91,45.3,0.8,1.26,0,5.82,Works well as a side dish or main course depending on your daily energy needs. | A great option during festive occasions — just keep portions in check.
